StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
NSW,124,Hughes,1230,Sutherland,1100,50.3,1087,49.7,2187,-0.18
NSW,124,Hughes,12076,Sutherland East,589,50.17,585,49.83,1174,-1.96
NSW,124,Hughes,11940,Sutherland North,1223,55.59,977,44.41,2200,-0.44
NSW,124,Hughes,14089,Sydney (Hughes),40,52.63,36,47.37,76,5.33
NSW,124,Hughes,31272,Wattle Grove,1348,61.5,844,38.5,2192,5.03
NSW,124,Hughes,83612,Wattle Grove PPVC,2775,62.11,1693,37.89,4468,4.79
NSW,124,Hughes,34235,Wattle Grove South,618,56.49,476,43.51,1094,-2.44
NSW,124,Hughes,31035,Woronora Heights,705,63,414,37,1119,1.35
NSW,124,Hughes,1236,Woronora River,602,64.73,328,35.27,930,3.64
NSW,124,Hughes,1237,Yarrawarrah,628,58.86,439,41.14,1067,-0.07
NSW,125,Hume,1660,Appin,714,53.24,627,46.76,1341,3.2
NSW,125,Hume,1663,Bargo,785,62.2,477,37.8,1262,2.37
NSW,125,Hume,83831,Bargo Central,468,62.82,277,37.18,745,5.53
NSW,125,Hume,902,Bigga,73,67.59,35,32.41,108,2.04
NSW,125,Hume,903,Binda,119,66.48,60,33.52,179,-5.99
NSW,125,Hume,65641,BLV Hume PPVC,5,50,5,50,10,21.43
NSW,125,Hume,904,Boorowa,667,66.57,335,33.43,1002,5.65
NSW,125,Hume,65165,Bowral HUME PPVC,1612,67.22,786,32.78,2398,4.27
NSW,125,Hume,905,Bradfordville,667,57.3,497,42.7,1164,4.62
NSW,125,Hume,866,Bringelly (Hume),391,71.74,154,28.26,545,3.17
NSW,125,Hume,906,Bundanoon,632,52.02,583,47.98,1215,-5.29
NSW,125,Hume,907,Bungonia,114,65.14,61,34.86,175,3.74
NSW,125,Hume,1669,Buxton,524,55.22,425,44.78,949,4.67
NSW,125,Hume,1670,Camden,1416,70.2,601,29.8,2017,1.13
NSW,125,Hume,11960,Camden Downs,579,64.98,312,35.02,891,1.93
NSW,125,Hume,1671,Camden East,666,64.29,370,35.71,1036,2.64
NSW,125,Hume,65167,Camden HUME PPVC,8378,69.16,3736,30.84,12114,3.5
NSW,125,Hume,1673,Camden South,936,61.06,597,38.94,1533,0.39
NSW,125,Hume,32479,Canyonleigh,76,64.41,42,35.59,118,-7.22
NSW,125,Hume,33738,Cawdor,660,72.45,251,27.55,911,-0.01
NSW,125,Hume,1677,Cobbitty,1081,74.35,373,25.65,1454,-1.12
NSW,125,Hume,910,Collector,83,47.98,90,52.02,173,-16.82
NSW,125,Hume,11962,Colo Vale,448,58.33,320,41.67,768,-3.17
NSW,125,Hume,915,Crookwell,955,70.12,407,29.88,1362,1.35
NSW,125,Hume,919,Dalton,105,62.87,62,37.13,167,-0.43
NSW,125,Hume,30116,Divisional Office (PREPOLL),96,65.31,51,34.69,147,11.39
NSW,125,Hume,1680,Douglas Park,444,62.71,264,37.29,708,-2.07
NSW,125,Hume,83048,Elderslie Central,884,60.92,567,39.08,1451,5.13
NSW,125,Hume,921,Exeter,288,66.51,145,33.49,433,2.84
NSW,125,Hume,923,Frogmore,61,85.92,10,14.08,71,8.35
NSW,125,Hume,924,Goulburn,608,50.41,598,49.59,1206,1.98
NSW,125,Hume,926,Goulburn Heights,820,53.66,708,46.34,1528,-0.72
NSW,125,Hume,928,Goulburn North,512,55.77,406,44.23,918,4.54
NSW,125,Hume,33866,Goulburn PPVC,6116,62.05,3741,37.95,9857,1.51
NSW,125,Hume,929,Goulburn South,1088,57.72,797,42.28,1885,3.37
NSW,125,Hume,930,Goulburn West,544,59.85,365,40.15,909,0.66
NSW,125,Hume,931,Grabben Gullen,154,81.05,36,18.95,190,6.05
NSW,125,Hume,1674,Grasmere,341,76.98,102,23.02,443,1.53
NSW,125,Hume,934,Gunning,284,58.92,198,41.08,482,1.01
NSW,125,Hume,2787,Hill Top,742,58.47,527,41.53,1269,5.47
NSW,125,Hume,940,Laggan,216,76.87,65,23.13,281,-2.92
NSW,125,Hume,883,Luddenham,357,76.12,112,23.88,469,2.77
NSW,125,Hume,943,Marulan,389,61.84,240,38.16,629,4.27
NSW,125,Hume,83534,Menangle,269,71.93,105,28.07,374,3.53
NSW,125,Hume,11991,Mount Annan,1199,60.77,774,39.23,1973,3.05
NSW,125,Hume,36407,Mount Annan Central,1378,55.63,1099,44.37,2477,3.04
NSW,125,Hume,1688,Mount Hunter,423,73.82,150,26.18,573,5.29
NSW,125,Hume,1690,Narellan,936,61.5,586,38.5,1522,4.46
NSW,125,Hume,11992,Narellan Vale,1208,57.28,901,42.72,2109,6.42
NSW,125,Hume,83429,Narellan Vale Central,931,63.72,530,36.28,1461,12.85
NSW,125,Hume,1691,Oakdale,577,66.94,285,33.06,862,4.47
NSW,125,Hume,1692,Orangeville,419,78.76,113,21.24,532,0.65
NSW,125,Hume,1693,Picton,1199,59.83,805,40.17,2004,-0.04
NSW,125,Hume,959,Rye Park,74,59.2,51,40.8,125,-5.87
NSW,125,Hume,33621,Special Hospital Team 1,53,60.92,34,39.08,87,-0.51
NSW,125,Hume,33702,Special Hospital Team 2,65,56.52,50,43.48,115,-5.51
NSW,125,Hume,33703,Special Hospital Team 3,142,66.67,71,33.33,213,5.01
NSW,125,Hume,82977,Spring Farm,1191,56.23,927,43.77,2118,-0.41
NSW,125,Hume,14092,Sydney (Hume),25,73.53,9,26.47,34,20.2
NSW,125,Hume,1698,Tahmoor,1601,58.18,1151,41.82,2752,4.63
NSW,125,Hume,967,Tallong,248,56.11,194,43.89,442,-4.66
NSW,125,Hume,968,Tarago,201,59.47,137,40.53,338,-3.42
NSW,125,Hume,969,Taralga,265,74.44,91,25.56,356,-0.35
NSW,125,Hume,1700,The Oaks,1043,70.24,442,29.76,1485,3.77
NSW,125,Hume,1702,Thirlmere,1436,63.46,827,36.54,2263,5.45
NSW,125,Hume,895,Wallacia,518,73.16,190,26.84,708,10.27
NSW,125,Hume,1707,Warragamba,1696,67.81,805,32.19,2501,5.27
NSW,125,Hume,1708,Wilton,1082,67.46,522,32.54,1604,1.91
NSW,125,Hume,976,Wingello,122,49.8,123,50.2,245,-7.17
NSW,125,Hume,1712,Yanderra,211,60.29,139,39.71,350,6.35
NSW,125,Hume,2812,Yerrinbool,330,59.57,224,40.43,554,4.78
NSW,126,Hunter,1345,Aberdare,530,41.31,753,58.69,1283,14.51
NSW,126,Hunter,323,Arcadia Vale,263,42.49,356,57.51,619,11.09
NSW,126,Hunter,324,Argenton,188,29.61,447,70.39,635,7.72
NSW,126,Hunter,326,Barnsley,560,39.24,867,60.76,1427,14.01
NSW,126,Hunter,1351,Bellbird,398,41.98,550,58.02,948,12.57
NSW,126,Hunter,373,Biraban,366,35.85,655,64.15,1021,8.86
NSW,126,Hunter,327,Blackalls,320,32.72,658,67.28,978,7.45
NSW,126,Hunter,65401,BLV Hunter PPVC,0,0,0,0,0,-54.55
NSW,126,Hunter,579,Bonnells Bay,1050,49.58,1068,50.42,2118,5.96
NSW,126,Hunter,331,Booragul,354,37.58,588,62.42,942,7.82
NSW,126,Hunter,1354,Branxton,837,48.3,896,51.7,1733,11.73
NSW,126,Hunter,1356,Broke,125,51.02,120,48.98,245,0.33
NSW,126,Hunter,38331,Cameron Park,882,42.9,1174,57.1,2056,8.85
NSW,126,Hunter,1358,Cessnock East,372,37.88,610,62.12,982,15.01
NSW,126,Hunter,33974,Cessnock HUNTER PPVC,3671,46.16,4282,53.84,7953,15.32
NSW,126,Hunter,1360,Cessnock North,325,42.6,438,57.4,763,14.25
NSW,126,Hunter,1362,Cessnock West,717,41.98,991,58.02,1708,14.48
NSW,126,Hunter,65194,Charlestown HUNTER PPVC,380,48.28,407,51.72,787,9.61
NSW,126,Hunter,339,Coal Point,493,51.09,472,48.91,965,1.23
NSW,126,Hunter,340,Cooranbong,502,47.95,545,52.05,1047,5.77
NSW,126,Hunter,33899,Cooranbong PPVC,3438,61.87,2119,38.13,5557,1.37
NSW,126,Hunter,1363,Denman,436,52.28,398,47.72,834,9.19
NSW,126,Hunter,30117,Divisional Office (PREPOLL),0,0,0,0,0,0
NSW,126,Hunter,341,Dora Creek,497,48.21,534,51.79,1031,7.62
NSW,126,Hunter,80964,East Maitland HUNTER PPVC,161,45.35,194,54.65,355,9.33
NSW,126,Hunter,342,Edgeworth,815,35.61,1474,64.39,2289,8.38
NSW,126,Hunter,351,Edgeworth Heights,370,37.41,619,62.59,989,10.65
NSW,126,Hunter,83657,Edgeworth HUNTER PPVC,1153,42.88,1536,57.12,2689,9.05
NSW,126,Hunter,1369,Elderslie,200,56.98,151,43.02,351,1.88
NSW,126,Hunter,80923,Elermore Vale (Hunter),100,37.45,167,62.55,267,0.99
NSW,126,Hunter,1370,Ellalong,273,42,377,58,650,9.3
NSW,126,Hunter,346,Fassifern,233,44.64,289,55.36,522,4.81
NSW,126,Hunter,347,Fennell Bay,399,37.57,663,62.43,1062,7.99
NSW,126,Hunter,350,Glendale,412,35.49,749,64.51,1161,9.63
NSW,126,Hunter,33177,Glendon,131,63.29,76,36.71,207,3.37
NSW,126,Hunter,1375,Greta,564,47.2,631,52.8,1195,20.02
NSW,126,Hunter,1377,Jerrys Plains,96,64.86,52,35.14,148,9.75
NSW,126,Hunter,1379,Kearsley,211,42.63,284,57.37,495,15.48
NSW,126,Hunter,354,Kilaben Bay,335,57.46,248,42.54,583,5.16
NSW,126,Hunter,1380,Kitchener,151,46.46,174,53.54,325,13.94
NSW,126,Hunter,1384,Lower Belford,134,61.19,85,38.81,219,11.38
NSW,126,Hunter,1395,Milbrodale,117,64.29,65,35.71,182,12.41
NSW,126,Hunter,1397,Millfield,272,45.95,320,54.05,592,8.36
NSW,126,Hunter,362,Morisset,505,42.26,690,57.74,1195,4.04
NSW,126,Hunter,609,Morisset Peninsula,325,44.58,404,55.42,729,2.14
NSW,126,Hunter,363,Mulbring,0,0,0,0,0,-42.2
NSW,126,Hunter,1131,Muswellbrook,516,46.74,588,53.26,1104,8.1
NSW,126,Hunter,1132,Muswellbrook East,842,48.84,882,51.16,1724,15.02
NSW,126,Hunter,33977,Muswellbrook HUNTER PPVC,2340,51.29,2222,48.71,4562,14.09
NSW,126,Hunter,1410,North Rothbury,99,37.08,168,62.92,267,7.53
NSW,126,Hunter,1402,Nulkaba,284,55.69,226,44.31,510,8.42
NSW,126,Hunter,1405,Pokolbin,181,66.3,92,33.7,273,1.46
NSW,126,Hunter,365,Rathmines,810,48.21,870,51.79,1680,8.15
NSW,126,Hunter,83693,Rutherford HUNTER PPVC,242,44.16,306,55.84,548,3.83
NSW,126,Hunter,1415,Sandy Hollow,90,48.65,95,51.35,185,5.79
NSW,126,Hunter,1417,Singleton,401,53.61,347,46.39,748,8.51
NSW,126,Hunter,1418,Singleton Heights,990,49.67,1003,50.33,1993,7.96
NSW,126,Hunter,33975,Singleton PPVC,3855,54.46,3224,45.54,7079,8.43
NSW,126,Hunter,1421,Singleton South,660,47.72,723,52.28,1383,3.78
NSW,126,Hunter,33627,Special Hospital Team 1,54,50.47,53,49.53,107,6.22
NSW,126,Hunter,33669,Special Hospital Team 2,82,40.59,120,59.41,202,-3.46
NSW,126,Hunter,33670,Special Hospital Team 3,57,46.72,65,53.28,122,2.53
NSW,126,Hunter,14096,Sydney (Hunter),2,11.76,15,88.24,17,-19.01
NSW,126,Hunter,370,Teralba,337,38.47,539,61.53,876,4.38
NSW,126,Hunter,372,Toronto,307,38.96,481,61.04,788,2.4
NSW,126,Hunter,33900,Toronto PPVC,3487,49.26,3592,50.74,7079,10.34
NSW,126,Hunter,375,Wangi Wangi,519,45.25,628,54.75,1147,2.06
NSW,126,Hunter,379,West Wallsend,793,41.43,1121,58.57,1914,17.13
NSW,126,Hunter,1429,Wollombi,142,41.76,198,58.24,340,-5.08
NSW,126,Hunter,31717,Woodrising,279,34.53,529,65.47,808,9.04
NSW,126,Hunter,623,Wyee,775,57.75,567,42.25,1342,12.73
NSW,126,Hunter,31719,Wyee Point,128,55.9,101,44.1,229,10.01
NSW,127,Kingsford Smith,1434,Banksmeadow,437,35.94,779,64.06,1216,0.42
NSW,127,Kingsford Smith,65469,BLV Kingsford Smith PPVC,0,0,0,0,0,-52.38
NSW,127,Kingsford Smith,1436,Botany,673,35.59,1218,64.41,1891,-1.17
NSW,127,Kingsford Smith,1437,Botany East,794,42.97,1054,57.03,1848,1.15
NSW,127,Kingsford Smith,83744,Botany South,224,35.44,408,64.56,632,-2.29
NSW,127,Kingsford Smith,1438,Bunnerong,711,39.54,1087,60.46,1798,2.68
NSW,127,Kingsford Smith,83741,Bunnerong South,83,34.16,160,65.84,243,-3.04
NSW,127,Kingsford Smith,97568,Central Sydney KINGSFORD SMITH PPVC,139,31.1,308,68.9,447,-12
NSW,127,Kingsford Smith,1439,Chifley,594,38.05,967,61.95,1561,-1.79
NSW,127,Kingsford Smith,2322,Clovelly Beach (Kingsford Smith),256,36.47,446,63.53,702,-6.16
NSW,127,Kingsford Smith,33796,Clovelly North (Kingsford Smith),101,40.56,148,59.44,249,-11.64
NSW,127,Kingsford Smith,2308,Coogee,684,38.8,1079,61.2,1763,-5.68
NSW,127,Kingsford Smith,2307,Coogee Beach,567,35.39,1035,64.61,1602,-7.57
NSW,127,Kingsford Smith,2309,Coogee Central,424,35.3,777,64.7,1201,-4.21
NSW,127,Kingsford Smith,83745,Coogee East,230,57.07,173,42.93,403,3.82
NSW,127,Kingsford Smith,2310,Coogee South,984,49.5,1004,50.5,1988,-3.69
NSW,127,Kingsford Smith,2312,Daceyville,596,45.32,719,54.68,1315,6.02
NSW,127,Kingsford Smith,30118,Divisional Office (PREPOLL),0,0,0,0,0,0
NSW,127,Kingsford Smith,1442,Eastlakes,275,34.63,519,65.37,794,0.12
NSW,127,Kingsford Smith,1443,Eastlakes East,263,27.06,709,72.94,972,3.64
NSW,127,Kingsford Smith,82790,Eastlakes KINGSFORD SMITH PPVC,2218,38.96,3475,61.04,5693,1.65
NSW,127,Kingsford Smith,97594,Glebe KINGSFORD SMITH PPVC,24,58.54,17,41.46,41,15.44
NSW,127,Kingsford Smith,65693,Haymarket KINGSFORD SMITH PPVC,348,42.96,462,57.04,810,1.75
NSW,127,Kingsford Smith,1447,Hillsdale,625,29.98,1460,70.02,2085,2.21
NSW,127,Kingsford Smith,2313,Kensington,505,35.14,932,64.86,1437,-4.93
NSW,127,Kingsford Smith,83740,Kensington Central,256,51.2,244,48.8,500,3.52
NSW,127,Kingsford Smith,2314,Kensington Park,622,48.63,657,51.37,1279,1.13
NSW,127,Kingsford Smith,2316,Kensington West,762,50.73,740,49.27,1502,-2.86
NSW,127,Kingsford Smith,2318,Kingsford South,501,41.17,716,58.83,1217,-3.36
NSW,127,Kingsford Smith,1449,La Perouse,626,39.37,964,60.63,1590,-2.51
NSW,127,Kingsford Smith,1451,Malabar,789,40.67,1151,59.33,1940,-1.32
NSW,127,Kingsford Smith,83742,Maroubra,465,44.93,570,55.07,1035,-0.03
NSW,127,Kingsford Smith,1453,Maroubra Bay,581,37.7,960,62.3,1541,-5.16
NSW,127,Kingsford Smith,47682,Maroubra Central,266,44.86,327,55.14,593,-1.6
NSW,127,Kingsford Smith,1455,Maroubra Junction,987,46.21,1149,53.79,2136,0.86
NSW,127,Kingsford Smith,83779,Maroubra PPVC,4312,45.36,5195,54.64,9507,3.16
NSW,127,Kingsford Smith,1461,Maroubra South,878,37.62,1456,62.38,2334,-2.85
NSW,127,Kingsford Smith,1460,Maroubra West,568,39.5,870,60.5,1438,-2.7
NSW,127,Kingsford Smith,1456,Mascot,470,32.59,972,67.41,1442,-0.59
NSW,127,Kingsford Smith,1457,Mascot East,646,37.43,1080,62.57,1726,4.99
NSW,127,Kingsford Smith,1458,Mascot North,526,37.87,863,62.13,1389,1.48
NSW,127,Kingsford Smith,1459,Matraville,436,37.85,716,62.15,1152,1.66
NSW,127,Kingsford Smith,83739,Pagewood South,200,41.15,286,58.85,486,6.34
NSW,127,Kingsford Smith,2311,Randwick (Kingsford Smith),467,35.49,849,64.51,1316,-5.97
NSW,127,Kingsford Smith,2317,Randwick Central,467,37.27,786,62.73,1253,-4.92
NSW,127,Kingsford Smith,2321,Randwick East,232,35.05,430,64.95,662,-3.84
NSW,127,Kingsford Smith,34029,Randwick KINGSFORD SMITH PPVC,3678,45.78,4356,54.22,8034,1.59
NSW,127,Kingsford Smith,44932,Randwick North (Kingsford Smith),163,35.36,298,64.64,461,-12.46
NSW,127,Kingsford Smith,2325,Randwick South,424,41.61,595,58.39,1019,-4.81
NSW,127,Kingsford Smith,11956,Randwick West,498,38.37,800,61.63,1298,-1.38
NSW,127,Kingsford Smith,57477,Rosebery West (Kingsford Smith),232,37.24,391,62.76,623,-0.6
NSW,127,Kingsford Smith,33629,Special Hospital Team 1,136,50.37,134,49.63,270,-3.8
NSW,127,Kingsford Smith,66029,Special Hospital Team 2,12,41.38,17,58.62,29,-12.97
NSW,127,Kingsford Smith,97544,Special Hospital Team 3,18,30.51,41,69.49,59,-19.49
NSW,127,Kingsford Smith,97552,Special Hospital Team 4,4,19.05,17,80.95,21,-36.51
NSW,127,Kingsford Smith,97553,Special Hospital Team 5,10,50,10,50,20,-7.14
NSW,127,Kingsford Smith,31032,Sydney (Kingsford Smith),85,36.32,149,63.68,234,5.52
NSW,127,Kingsford Smith,65182,Sydney KINGSFORD SMITH PPVC,428,49.48,437,50.52,865,6.18
NSW,127,Kingsford Smith,2326,The Spot,414,41.36,587,58.64,1001,1.4
NSW,127,Kingsford Smith,65270,Waverley KINGSFORD SMITH PPVC,183,47.04,206,52.96,389,-2.43
NSW,128,Lindsay,1747,Berkshire Park,311,73.87,110,26.13,421,0.7
NSW,128,Lindsay,65411,BLV Lindsay PPVC,0,0,0,0,0,-62.5
NSW,128,Lindsay,1479,Cambridge Gardens,1109,51.92,1027,48.08,2136,6.75
NSW,128,Lindsay,1480,Cambridge Park,824,46.66,942,53.34,1766,2.84
NSW,128,Lindsay,83595,Cambridge Park North,201,47.07,226,52.93,427,2.58
NSW,128,Lindsay,1481,Cambridge Park South,527,50.62,514,49.38,1041,9.85
NSW,128,Lindsay,1754,Castlereagh,644,76.48,198,23.52,842,7.3
NSW,128,Lindsay,11957,Claremont Meadows,1100,53.61,952,46.39,2052,10.07
NSW,128,Lindsay,384,Colyton,997,42.43,1353,57.57,2350,3.41
NSW,128,Lindsay,83596,Colyton West,206,39.69,313,60.31,519,0.66
NSW,128,Lindsay,1758,Cranebrook,1246,54.84,1026,45.16,2272,3.82
NSW,128,Lindsay,83598,Cranebrook Central,655,59.22,451,40.78,1106,10.62
NSW,128,Lindsay,83597,Cranebrook North,332,51.63,311,48.37,643,3.41
NSW,128,Lindsay,1478,Cranebrook South,1433,52.05,1320,47.95,2753,6.64
NSW,128,Lindsay,30119,Divisional Office (PREPOLL),163,56.79,124,43.21,287,8.35
NSW,128,Lindsay,1483,Emu Heights,729,57.09,548,42.91,1277,8.53
NSW,128,Lindsay,1484,Emu Plains,1145,60.74,740,39.26,1885,4.3
NSW,128,Lindsay,83599,Emu Plains Central,273,62.9,161,37.1,434,6.47
NSW,128,Lindsay,97410,Emu Plains LINDSAY PPVC,716,60.07,476,39.93,1192,11.29
NSW,128,Lindsay,1494,Emu Plains North,579,54.62,481,45.38,1060,0.85
NSW,128,Lindsay,32337,Glenmore Park,1184,57.62,871,42.38,2055,6.98
NSW,128,Lindsay,31689,Glenmore Park Central,1581,59.73,1066,40.27,2647,5.44
NSW,128,Lindsay,82533,Glenmore Park East,674,62.35,407,37.65,1081,8
NSW,128,Lindsay,83600,Glenmore Park South,1001,60.05,666,39.95,1667,6.44
NSW,128,Lindsay,1486,Jamisontown,631,53.16,556,46.84,1187,6.75
NSW,128,Lindsay,1507,Jamisontown West,469,57.55,346,42.45,815,5.06
NSW,128,Lindsay,1487,Kingswood,692,43.39,903,56.61,1595,3.57
NSW,128,Lindsay,1501,Kingswood North,383,44.48,478,55.52,861,1.16
NSW,128,Lindsay,1489,Kingswood South,470,50.05,469,49.95,939,10.95
NSW,128,Lindsay,1491,Leonay,799,64.33,443,35.67,1242,4.57
NSW,128,Lindsay,1783,Llandilo,880,67.43,425,32.57,1305,9.71
NSW,128,Lindsay,11958,Londonderry,1218,68.62,557,31.38,1775,6.53
NSW,128,Lindsay,65187,Mount Druitt LINDSAY PPVC,540,45.34,651,54.66,1191,3.46
NSW,128,Lindsay,889,Mulgoa,724,81.08,169,18.92,893,6.63
NSW,128,Lindsay,1496,Orchard Hills,698,76.7,212,23.3,910,5.3
NSW,128,Lindsay,83625,Orchard Hills West,337,59.12,233,40.88,570,11.88
NSW,128,Lindsay,1497,Oxley Park,887,42.93,1179,57.07,2066,2.24
NSW,128,Lindsay,1498,Penrith,682,43.69,879,56.31,1561,4.16
NSW,128,Lindsay,83626,Penrith East,235,39.7,357,60.3,592,-6.96
NSW,128,Lindsay,33841,Penrith LINDSAY PPVC,11481,59.15,7929,40.85,19410,10.35
NSW,128,Lindsay,1488,Penrith North,509,47.17,570,52.83,1079,2.97
NSW,128,Lindsay,1502,Penrith South,1026,51.84,953,48.16,1979,5.17
NSW,128,Lindsay,1510,Penrith South Central,1561,54.43,1307,45.57,2868,7.18
NSW,128,Lindsay,1503,Regentville,1085,60.85,698,39.15,1783,3.34
NSW,128,Lindsay,33630,Special Hospital Team 1,38,46.34,44,53.66,82,0.71
NSW,128,Lindsay,1504,St Marys,464,38.63,737,61.37,1201,2.72
NSW,128,Lindsay,410,St Marys North,512,40.47,753,59.53,1265,4.67
NSW,128,Lindsay,1506,St Marys South,1050,45.67,1249,54.33,2299,4.41
NSW,128,Lindsay,32328,Sydney (Lindsay),14,31.82,30,68.18,44,-3.89
NSW,128,Lindsay,1508,Werrington,750,48.02,812,51.98,1562,6.97
NSW,128,Lindsay,1509,Werrington County,851,54.55,709,45.45,1560,4.7
NSW,130,Lyne,1564,Barrington,287,71.22,116,28.78,403,-2.09
NSW,130,Lyne,452,Beechwood,436,69.98,187,30.02,623,-0.11
NSW,130,Lyne,65561,BLV Lyne PPVC,0,0,0,0,0,0
NSW,130,Lyne,1353,Bolwarra,635,56.44,490,43.56,1125,-0.91
NSW,130,Lyne,1566,Bonny Hills,632,68.03,297,31.97,929,8.11
NSW,130,Lyne,1567,Booral,287,61.59,179,38.41,466,5.23
NSW,130,Lyne,1568,Bulahdelah,538,63.74,306,36.26,844,8.04
NSW,130,Lyne,1569,Bungwahl,131,53.25,115,46.75,246,0.76
NSW,130,Lyne,1571,Burrell Creek,165,78.2,46,21.8,211,5.14
NSW,130,Lyne,83501,Camden Haven PPVC,2345,68.09,1099,31.91,3444,8.22
NSW,130,Lyne,1574,Chatham,541,60.72,350,39.28,891,2.76
NSW,130,Lyne,1575,Clarence Town,734,62.36,443,37.64,1177,12.81
NSW,130,Lyne,467,Comboyne,205,81.67,46,18.33,251,5.81
NSW,130,Lyne,1576,Coolongolook,166,60.36,109,39.64,275,-2.54
NSW,130,Lyne,11984,Coomba Park,151,53.36,132,46.64,283,6.2
NSW,130,Lyne,1577,Coopernook,216,61.71,134,38.29,350,0.83
NSW,130,Lyne,1580,Cundletown,668,68.65,305,31.35,973,2.78
NSW,130,Lyne,32374,Diamond Beach,288,57.72,211,42.28,499,0.18
NSW,130,Lyne,30121,Divisional Office (PREPOLL),0,0,0,0,0,-20
NSW,130,Lyne,1581,Dunbogan,219,61.34,138,38.66,357,2.9
NSW,130,Lyne,1582,Dungog,913,60.34,600,39.66,1513,4.59
NSW,130,Lyne,1583,Dyers Crossing,198,73.61,71,26.39,269,2.58
NSW,130,Lyne,81035,East Maitland LYNE PPVC,1249,60.31,822,39.69,2071,3.74
NSW,130,Lyne,1584,Elands,28,27.72,73,72.28,101,-0.85
NSW,130,Lyne,1587,Forster East,577,60.93,370,39.07,947,6.91
NSW,130,Lyne,31457,Forster Keys,564,63.23,328,36.77,892,0.83
NSW,130,Lyne,1588,Forster South,916,57.36,681,42.64,1597,-1.04
NSW,130,Lyne,33892,Forster-Tuncurry PPVC,7167,71.48,2860,28.52,10027,5.45
NSW,130,Lyne,1592,Gloucester,729,69.69,317,30.31,1046,-1.17
NSW,130,Lyne,1593,Gloucester South,533,67.81,253,32.19,786,0.71
NSW,130,Lyne,1374,Gresford,312,68.87,141,31.13,453,1.37
NSW,130,Lyne,1594,Hallidays Point,630,65.69,329,34.31,959,0.38
NSW,130,Lyne,1595,Hannam Vale,103,62.42,62,37.58,165,-1.17
NSW,130,Lyne,1596,Harrington,993,66.16,508,33.84,1501,4.43
NSW,130,Lyne,1597,Hawks Nest,558,62,342,38,900,0.66
NSW,130,Lyne,1598,Herons Creek,104,69.33,46,30.67,150,9.87
NSW,130,Lyne,1376,Hinton,509,62.76,302,37.24,811,5.6
NSW,130,Lyne,479,Huntingdon,168,73.36,61,26.64,229,4.68
NSW,130,Lyne,1599,Johns River,128,64.97,69,35.03,197,3.71
NSW,130,Lyne,1600,Karuah,366,51.62,343,48.38,709,5.66
NSW,130,Lyne,1601,Kendall,478,66.95,236,33.05,714,1.35
NSW,130,Lyne,1602,Kew,329,67.7,157,32.3,486,5.56
NSW,130,Lyne,1603,Killabakh,114,71.7,45,28.3,159,8.9
NSW,130,Lyne,32375,King Creek,456,76,144,24,600,0.15
NSW,130,Lyne,1604,Krambach,224,66.27,114,33.73,338,-2.13
NSW,130,Lyne,1605,Lake Cathie,991,66.29,504,33.71,1495,-1.18
NSW,130,Lyne,1606,Lansdowne,247,64.49,136,35.51,383,2.68
NSW,130,Lyne,1381,Largs,582,56.07,456,43.93,1038,2.85
NSW,130,Lyne,1607,Laurieton,495,62.19,301,37.81,796,2.77
NSW,130,Lyne,488,Long Flat,189,78.75,51,21.25,240,3.07
NSW,130,Lyne,1383,Lorn,463,48.69,488,51.31,951,-4.06
NSW,130,Lyne,1609,Lorne,115,79.31,30,20.69,145,6.3
NSW,130,Lyne,1612,Marlee,108,48.87,113,51.13,221,-10.26
NSW,130,Lyne,1392,Martins Creek,71,65.74,37,34.26,108,6.7
NSW,130,Lyne,1614,Mitchells Island,249,68.41,115,31.59,364,3.64
NSW,130,Lyne,1615,Moorland,189,75.9,60,24.1,249,16.24
NSW,130,Lyne,1616,Mount George,111,66.07,57,33.93,168,8.15
NSW,130,Lyne,1618,Nabiac,636,66.6,319,33.4,955,0.67
NSW,130,Lyne,31510,North Arm Cove,164,59.42,112,40.58,276,0.94
NSW,130,Lyne,1623,North Haven,383,64.15,214,35.85,597,4.11
NSW,130,Lyne,1624,Old Bar,1076,58.96,749,41.04,1825,2.24
NSW,130,Lyne,1626,Pacific Palms,466,54.82,384,45.18,850,3.89
NSW,130,Lyne,1403,Paterson Central,299,59.56,203,40.44,502,7.97
NSW,130,Lyne,82524,Port Macquarie LYNE PPVC,1755,74.33,606,25.67,2361,5.84
NSW,130,Lyne,1627,Purfleet,77,46.67,88,53.33,165,-3.33
NSW,130,Lyne,81033,Raymond Terrace LYNE PPVC,1168,63.37,675,36.63,1843,3.9
NSW,130,Lyne,505,Rollands Plains,148,80.43,36,19.57,184,4.83
NSW,130,Lyne,1416,Seaham,567,60.32,373,39.68,940,2.87
NSW,130,Lyne,33612,Special Hospital Team 1,120,63.16,70,36.84,190,-1.43
NSW,130,Lyne,33673,Special Hospital Team 2,143,67.14,70,32.86,213,2.43
NSW,130,Lyne,33674,Special Hospital Team 3,36,64.29,20,35.71,56,-0.18
NSW,130,Lyne,81031,Special Hospital Team 4,213,70.07,91,29.93,304,5.64
NSW,130,Lyne,1638,Stratford,211,73.01,78,26.99,289,3.24
